data-ai Intelligence
Report,IQ Classifications- Top Apps
Report Generation Time,01/06/2023 07:43:48 PST
Country/Region,Brazil
Date,"2022-07-01, 2022-09-30"
Device,Android Phone
Classification,"BNPL, Coupons & Rewards, E-Commerce (B2C), E-Commerce (C2C), E-Commerce (Retailer), Other Shopping, Pharmacy & Drugstore, Resell"
Granularity,Monthly
Vertical,App
Include secondary IQ classifications,False

Rank,App,App Name,App Bundle ID,App Package Name,Market,Market Name,Device,Device Name,Developer Account,Developer Account Name,Company,Company Name,Company HQ,Company HQ Name,Parent Company,Parent Company Name,App Category,App Category Name,Unified App,Unified App Name,Vertical,Vertical Name,Genre > Classification,Genre > Classification Name,Subgenre > Classification,Subgenre > Classification Name,Classification Type,Classification Type Name,Content > Tag,Content > Tag Name,FTUE > Tag,FTUE > Tag Name,Feature - Finance > Tag,Feature - Finance > Tag Name,Feature - Food & Drink > Tag,Feature - Food & Drink > Tag Name,Feature - General > Tag,Feature - General > Tag Name,Feature - Health & Fitness > Tag,Feature - Health & Fitness > Tag Name,Feature - Login > Tag,Feature - Login > Tag Name,Feature - Reporting > Tag,Feature - Reporting > Tag Name,Feature - Shopping > Tag,Feature - Shopping > Tag Name,Feature - Social > Tag,Feature - Social > Tag Name,Feature - Social Media > Tag,Feature - Social Media > Tag Name,Feature - Support > Tag,Feature - Support > Tag Name,Monetization - Advertising > Tag,Monetization - Advertising > Tag Name,Monetization - Membership > Tag,Monetization - Membership > Tag Name,Monetization - Value-added Service > Tag,Monetization - Value-added Service > Tag Name,Tag Type,Tag Type Name,Downloads,Downloads (Change Value),Cumulative Downloads,Cumulative Downloads (Change Value),Revenue,Revenue (Change Value),Cumulative Revenue,Cumulative Revenue (Change Value),RPD,RPD (Change Value),Paid Downloads,Paid Downloads (Change Value),Organic Downloads,Organic Downloads (Change Value),% Paid Downloads,% Paid Downloads (Change Value),% Organic Downloads,% Organic Downloads (Change Value),Usage Penetration,Usage Penetration (Change Value),Active Users,Active Users (Change Value),Install Penetration,Install Penetration (Change Value),Install Base,Install Base (Change Value),Open Rate,Open Rate (Change Value),Avg Sessions / User,Avg Sessions / User (Change Value),Avg Session Duration,Avg Session Duration (Change Value),Avg Time / User,Avg Time / User (Change Value),Total Time,Total Time (Change Value),Avg Active Days,Avg Active Days (Change Value),% Active Days,% Active Days (Change Value),Share of Category Time,Share of Category Time (Change Value)
1,20600002127947,SHEIN-Fashion Shopping Online,,com.zzkko,google-play,Google Play Store,android-all,All Android Devices,20200003679327,Roadget Business PTE. LTD.,1000200000062552,Shein,CN,China,1000200000062552,Shein,400053,Shopping,1000600000514517,SHEIN,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,"1080025, 1080026, 1080021, 1080022, 1080020, 1080009","Settings, Check Out, Browse Content, Search Content, Login, Notification Settings",,,,,"6003041, 6003079, 6003075, 6003022, 6003018, 6003023, 6003010, 6003060, 6003056, 6003014, 6003071, 6003031, 6003042, 6003024, 6003028, 6003008, 6003017","In-App Coupons, Language Options, QR Code, Personal Recommendation, Short Videos, Popular Recommendation, Like/Dislike, Challenge/Task/Achievements, Review, Messaging/Inbox, Alerts Setting, Image Search, Tiered Member Rewards Program, Relative Recommendation, Purchase Gift Card, Favorite, Any Recommendation",6016049,Unit Conversions,"6005006, 6005002","Internal Login, External Login",,,"6014004, 6014012, 6014032, 6014013, 6014010, 6014027, 6014007, 6014001, 6014002, 6014020","Daily/Hourly Deals, 3rd Party Payment (Paypal, Amazon, Apple Pay etc.), Save for Later, Member Rewards, Curated Shopping Content, Primary Content Type - Multi Category, Exclusive App Deals, Scan Barcode, Custom Lists, Buy Now Pay Later","6007001, 6007005, 6007007, 6007006, 6007002","Comments, Invite Friend, Share, Reward for Inviting Friend, External Share","6017063, 6017064, 6017055","Multi-Platform Support, Web Version, Album/Photo","6008005, 6008001, 6008002","FAQs/Knowledge Base, Any Customer Service, AI Chat bot",,,,,,,"5003001, 400013, 5008001, 5014001, 5018001, 5008001, 400013, 5014001, 5003001, 5003001, 5003001, 5003001, 5003001, 5007001, 5017001, 5014001, 5014001, 5014001, 5005001, 400013, 5008001, 5007001, 5014001, 5003001, 5003001, 5007001, 400013, 5014001, 5018001, 5005001, 5014001, 5007001, 5003001, 5003001, 400013, 5018001, 5003001, 5007001, 5014001, 5014001, 5003001, 5003001, 5003001, 400013, 5003001, 5003001, 5003001","Feature - General, FTUE, Feature - Support, Feature - Shopping, Feature - Social Media, Feature - Support, FTUE, Feature - Shopping, Feature - General, Feature - General, Feature - General, Feature - General, Feature - General, Feature - Social, Feature - Health & Fitness, Feature - Shopping, Feature - Shopping, Feature - Shopping, Feature - Login, FTUE, Feature - Support, Feature - Social, Feature - Shopping, Feature - General, Feature - General, Feature - Social, FTUE, Feature - Shopping, Feature - Social Media, Feature - Login, Feature - Shopping, Feature - Social, Feature - General, Feature - General, FTUE, Feature - Social Media, Feature - General, Feature - Social, Feature - Shopping, Feature - Shopping, Feature - General, Feature - General, Feature - General, FTUE, Feature - General, Feature - General, Feature - General",8674918,-775377,58979264,8674918,,,,,,,4553276,-340441,4121642,-434936,52.49%,0.71%,47.51%,-0.71%,17.41%,-0.04%,19157963,-27859,17.69%,0.06%,19458615,74348,98.45%,-0.53%,17.20,1.78,00:02:36,-00:00:36,00:44:46,-00:04:44,2572949960,-277053929,4.01,0.00,13.06%,-0.17%,,
2,20600012546168,Shopee: Compre de Tudo Online,,com.shopee.br,google-play,Google Play Store,android-all,All Android Devices,20200001521500,Shopee,1000200000063420,SHOPEE,SG,Singapore,1000200000257176,Sea,400053,Shopping,1000600000516340,Shopee,app,App,3013,Shopping,30130002,E-Commerce (C2C),"2, 3","Genre, Subgenre",,,"1080020, 1080022, 1080025, 1080021, 1080026","Login, Search Content, Settings, Browse Content, Check Out",,,,,"6003071, 6003056, 6003014, 6003031, 6003060, 6003010, 6003041, 6003017, 6003008, 6003018, 6003023, 6003072, 6003011, 6003079, 6003022, 6003082, 6003024","Alerts Setting, Review, Messaging/Inbox, Image Search, Challenge/Task/Achievements, Like/Dislike, In-App Coupons, Any Recommendation, Favorite, Short Videos, Popular Recommendation, In-App Communication, Live Streaming, Language Options, Personal Recommendation, Gacha/Loot Box/Lucky Spin, Relative Recommendation",,,"6005002, 6005006, 6005009","External Login, Internal Login, Touch ID/Face ID Login",,,"6014027, 6014002, 6014004, 6014012, 6014010","Primary Content Type - Multi Category, Custom Lists, Daily/Hourly Deals, 3rd Party Payment (Paypal, Amazon, Apple Pay etc.), Curated Shopping Content","6007005, 6007010, 6007006, 6007002, 6007007","Invite Friend, User Tips, Reward for Inviting Friend, External Share, Share","6017064, 6017063","Web Version, Multi-Platform Support","6008002, 6008005, 6008004, 6008006, 6008003, 6008001","AI Chat bot, FAQs/Knowledge Base, Forum, Phone Support, Email/Help Desk, Any Customer Service","6010004, 6010003, 6010005, 6010001","Floating ad, Splash Ad, Sponsored Content, Any Advertising",,,6012001,Build-in Games,"5008001, 5007001, 5014001, 5003001, 5010001, 5008001, 5007001, 5003001, 5003001, 400013, 5010001, 5007001, 5005001, 5018001, 5003001, 5014001, 5008001, 5007001, 5007001, 5003001, 400013, 5003001, 5003001, 400013, 5010001, 5012001, 400013, 5008001, 5018001, 5014001, 5005001, 5008001, 5003001, 5003001, 5008001, 5005001, 5014001, 400013, 5003001, 5003001, 5003001, 5010001, 5003001, 5003001, 5014001, 5003001, 5003001, 5003001","Feature - Support, Feature - Social, Feature - Shopping, Feature - General, Monetization - Advertising, Feature - Support, Feature - Social, Feature - General, Feature - General, FTUE, Monetization - Advertising, Feature - Social, Feature - Login, Feature - Social Media, Feature - General, Feature - Shopping, Feature - Support, Feature - Social, Feature - Social, Feature - General, FTUE, Feature - General, Feature - General, FTUE, Monetization - Advertising, Monetization - Value-added Service, FTUE, Feature - Support, Feature - Social Media, Feature - Shopping, Feature - Login, Feature - Support, Feature - General, Feature - General, Feature - Support, Feature - Login, Feature - Shopping, FTUE, Feature - General, Feature - General, Feature - General, Monetization - Advertising, Feature - General, Feature - General, Feature - Shopping, Feature - General, Feature - General, Feature - General",8296586,-43885,105019350,8296586,,,,,,,4211815,320367,4084771,-364252,50.77%,4.11%,49.23%,-4.11%,40.53%,0.53%,44589200,617693,46.20%,0.34%,50834439,419197,87.71%,0.49%,48.78,7.84,00:02:16,-00:00:31,01:51:18,-00:03:30,14889159846,-257506319,6.80,-0.01,22.19%,-0.25%,,
3,20600000011511,Mercado Libre: Compras Online,,com.mercadolibre,google-play,Google Play Store,android-all,All Android Devices,20200001889958,Mercado Libre,1000200000036876,MercadoLibre,AR,Argentina,1000200000036876,MercadoLibre,400053,Shopping,1000600000437659,MercadoLibre,app,App,3013,Shopping,30130002,E-Commerce (C2C),"2, 3","Genre, Subgenre",,,"1080020, 1080009, 1080021, 1080025, 1080022","Login, Notification Settings, Browse Content, Settings, Search Content",,,6006018,Become a Partner Portal,"6003022, 6003017, 6003008, 6003056, 6003014, 6003024, 6003041, 6003035, 6003010, 6003072","Personal Recommendation, Any Recommendation, Favorite, Review, Messaging/Inbox, Relative Recommendation, In-App Coupons, Currency Loading , Like/Dislike, In-App Communication",,,6005006,Internal Login,,,"6014012, 6014027, 6014004, 6014020, 6014007","3rd Party Payment (Paypal, Amazon, Apple Pay etc.), Primary Content Type - Multi Category, Daily/Hourly Deals, Buy Now Pay Later, Exclusive App Deals","6007002, 6007007","External Share, Share","6017063, 6017064","Multi-Platform Support, Web Version","6008001, 6008005","Any Customer Service, FAQs/Knowledge Base","6010001, 6010006, 6010005","Any Advertising, Interstitial/Banner, Sponsored Content",,,,,"5010001, 5014001, 5003001, 5008001, 5014001, 5010001, 5003001, 5003001, 5005001, 5014001, 5003001, 400013, 5003001, 5014001, 5007001, 400013, 5003001, 5008001, 5010001, 5016001, 5003001, 400013, 5018001, 400013, 400013, 5007001, 5003001, 5003001, 5003001, 5014001, 5018001","Monetization - Advertising, Feature - Shopping, Feature - General, Feature - Support, Feature - Shopping, Monetization - Advertising, Feature - General, Feature - General, Feature - Login, Feature - Shopping, Feature - General, FTUE, Feature - General, Feature - Shopping, Feature - Social, FTUE, Feature - General, Feature - Support, Monetization - Advertising, Feature - Food & Drink, Feature - General, FTUE, Feature - Social Media, FTUE, FTUE, Feature - Social, Feature - General, Feature - General, Feature - General, Feature - Shopping, Feature - Social Media",4053985,-390373,133318302,4053985,,,,,,,1284307,-831250,2769678,440877,31.68%,-15.92%,68.32%,15.92%,37.40%,0.21%,41144943,262702,43.96%,0.11%,48367758,160712,85.07%,0.26%,34.01,1.51,00:01:53,00:00:06,01:04:14,00:06:34,7930534420,856451796,7.58,0.01,24.70%,-0.25%,,
4,20600003118501,Magalu: loja e compras online,,com.luizalabs.mlapp,google-play,Google Play Store,android-all,All Android Devices,20200003931717,Magazine Luiza,1000200000078746,LuizaLabs,BR,Brazil,1000200000387041,Magazine Luiza,400053,Shopping,1000600000524510,Magazine Luiza,app,App,3013,Shopping,30130001,E-Commerce (B2C),"2, 3","Genre, Subgenre",,,"1080020, 1080022, 1080009, 1080025, 1080021","Login, Search Content, Notification Settings, Settings, Browse Content",,,,,"6003022, 6003056, 6003014, 6003010, 6003072, 6003023, 6003033, 6003013, 6003041, 6003024, 6003008, 6003017","Personal Recommendation, Review, Messaging/Inbox, Like/Dislike, In-App Communication, Popular Recommendation, Manage In Store Credit Card, Digital Loyalty Cards, In-App Coupons, Relative Recommendation, Favorite, Any Recommendation",,,"6005002, 6005010, 6005006","External Login, Two Factor Authentication, Internal Login",,,"6014013, 6014027, 6014007, 6014004, 6014010, 6014012","Member Rewards, Primary Content Type - Multi Category, Exclusive App Deals, Daily/Hourly Deals, Curated Shopping Content, 3rd Party Payment (Paypal, Amazon, Apple Pay etc.)","6007007, 6007002","Share, External Share","6017064, 6017063","Web Version, Multi-Platform Support","6008006, 6008005, 6008001, 6008003","Phone Support, FAQs/Knowledge Base, Any Customer Service, Email/Help Desk","6010001, 6010005","Any Advertising, Sponsored Content",,,,,"5014001, 5010001, 5003001, 400013, 5003001, 5003001, 5014001, 400013, 5007001, 5003001, 5003001, 5003001, 5003001, 5005001, 5014001, 5018001, 5003001, 5007001, 5005001, 400013, 5010001, 5008001, 5014001, 5008001, 5003001, 400013, 400013, 5018001, 5005001, 5003001, 5008001, 5014001, 5014001, 5003001, 5008001, 5003001","Feature - Shopping, Monetization - Advertising, Feature - General, FTUE, Feature - General, Feature - General, Feature - Shopping, FTUE, Feature - Social, Feature - General, Feature - General, Feature - General, Feature - General, Feature - Login, Feature - Shopping, Feature - Social Media, Feature - General, Feature - Social, Feature - Login, FTUE, Monetization - Advertising, Feature - Support, Feature - Shopping, Feature - Support, Feature - General, FTUE, FTUE, Feature - Social Media, Feature - Login, Feature - General, Feature - Support, Feature - Shopping, Feature - Shopping, Feature - General, Feature - Support, Feature - General",2892347,-370873,93231708,2892347,,,,,,,1447766,-307435,1444581,-63438,50.06%,-3.73%,49.94%,3.73%,19.26%,-0.10%,21192916,-89464,23.69%,-0.07%,26066096,-57153,81.30%,-0.17%,15.76,0.41,00:01:15,-00:00:04,00:19:57,-00:00:44,1269124656,-52997060,4.48,-0.02,14.62%,-0.21%,,
5,20600002283821,Americanas: compras online,,com.b2w.americanas,google-play,Google Play Store,android-all,All Android Devices,20200004181434,americanas s.a.,,,,,,,400053,Shopping,1000600000524527,Americanas,app,App,3013,Shopping,30130001,E-Commerce (B2C),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2834579,-434951,91986977,2834579,,,,,,,1526138,-184696,1308441,-250255,53.84%,1.51%,46.16%,-1.51%,21.63%,-0.03%,23795465,-14640,26.48%,-0.03%,29132183,-8625,81.68%,-0.03%,12.97,-0.24,00:01:21,00:00:11,00:17:39,00:02:15,1260617246,160286266,3.96,-0.01,12.90%,-0.19%,,
6,20600003781794,Amazon Shopping,,com.amazon.mShop.android.shopping,google-play,Google Play Store,android-all,All Android Devices,20200000195533,Amazon Mobile LLC,1000200000000009,Amazon,US,United States,1000200000000009,Amazon,400053,Shopping,1000600000001163,Amazon,app,App,3013,Shopping,30130001,E-Commerce (B2C),"2, 3","Genre, Subgenre",,,"1080020, 1080026, 1080021, 1080025, 1080022","Login, Check Out, Browse Content, Settings, Search Content",,,"6006035, 6006037, 6006033, 6006025, 6006014","Delivery Type - Pharmacy/Household, EBT Payment, Delivery Type - Grocery, Periodic Menu, Images - Curated","6003033, 6003017, 6003008, 6003032, 6003079, 6003014, 6003056, 6003019, 6003023, 6003022, 6003058, 6003050, 6003049, 6003041, 6003024, 6003026, 6003028, 6003031","Manage In Store Credit Card, Any Recommendation, Favorite, Voice Search, Language Options, Messaging/Inbox, Review, Voice Interactions, Popular Recommendation, Personal Recommendation, Export Data, Recurring Order, Nutritional Facts, In-App Coupons, Relative Recommendation, Onboarding Questions, Purchase Gift Card, Image Search","6016055, 6016054, 6016031","Transfer Prescription, Auto Refill, Clinical Reference","6005010, 6005009, 6005008, 6005006","Two Factor Authentication, Touch ID/Face ID Login, Simultaneous Devices/Profiles, Internal Login",,,"6014001, 6014019, 6014020, 6014012, 6014011, 6014032, 6014010, 6014004, 6014005, 6014003, 6014002, 6014017, 6014027","Scan Barcode, Frequently Bought Together, Buy Now Pay Later, 3rd Party Payment (Paypal, Amazon, Apple Pay etc.), One Click Order, Save for Later, Curated Shopping Content, Daily/Hourly Deals, P2P Marketplace, Buy Again, Custom Lists, Parcel Locker Pick up, Primary Content Type - Multi Category","6007007, 6007002","Share, External Share","6017064, 6017063, 6017050","Web Version, Multi-Platform Support, Basic Info","6008003, 6008001, 6008005, 6008006, 6008004, 6008002","Email/Help Desk, Any Customer Service, FAQs/Knowledge Base, Phone Support, Forum, AI Chat bot","6010001, 6010005","Any Advertising, Sponsored Content","6011003, 6011007, 6011002, 6011001","Education Discount, Free Trials, Auto Renew, Any Subscription Discount",,,"5003001, 5014001, 5017001, 5017001, 5018001, 5003001, 5003001, 5014001, 5008001, 5005001, 5014001, 5003001, 5005001, 5014001, 5010001, 5003001, 5014001, 400013, 5003001, 5016001, 5003001, 5003001, 5005001, 5003001, 400013, 5008001, 5011001, 5003001, 5003001, 5014001, 5003001, 5014001, 5003001, 5010001, 5003001, 400013, 5018001, 5008001, 5008001, 5016001, 5014001, 5011001, 5003001, 5005001, 400013, 5003001, 400013, 5014001, 5011001, 5007001, 5016001, 5011001, 5003001, 5016001, 5008001, 5014001, 5014001, 5003001, 5017001, 5014001, 5018001, 5007001, 5008001, 5016001, 5014001","Feature - General, Feature - Shopping, Feature - Health & Fitness, Feature - Health & Fitness, Feature - Social Media, Feature - General, Feature - General, Feature - Shopping, Feature - Support, Feature - Login, Feature - Shopping, Feature - General, Feature - Login, Feature - Shopping, Monetization - Advertising, Feature - General, Feature - Shopping, FTUE, Feature - General, Feature - Food & Drink, Feature - General, Feature - General, Feature - Login, Feature - General, FTUE, Feature - Support, Monetization - Membership, Feature - General, Feature - General, Feature - Shopping, Feature - General, Feature - Shopping, Feature - General, Monetization - Advertising, Feature - General, FTUE, Feature - Social Media, Feature - Support, Feature - Support, Feature - Food & Drink, Feature - Shopping, Monetization - Membership, Feature - General, Feature - Login, FTUE, Feature - General, FTUE, Feature - Shopping, Monetization - Membership, Feature - Social, Feature - Food & Drink, Monetization - Membership, Feature - General, Feature - Food & Drink, Feature - Support, Feature - Shopping, Feature - Shopping, Feature - General, Feature - Health & Fitness, Feature - Shopping, Feature - Social Media, Feature - Social, Feature - Support, Feature - Food & Drink, Feature - Shopping",2804209,55040,33919950,2804209,,,,,,,1349183,-9712,1455026,64752,48.11%,-1.32%,51.89%,1.32%,17.28%,0.20%,19012526,235873,26.65%,2.34%,29321526,2591140,64.84%,-5.40%,15.99,-2.10,00:01:34,00:00:09,00:25:16,-00:00:34,1441289514,-14942865,5.32,-0.01,17.35%,-0.22%,,
7,20600001668074,Casas Bahia: Compras Online,,com.novapontocom.casasbahia,google-play,Google Play Store,android-all,All Android Devices,20200002483031,Via Varejo S.A.,1000200000401995,Via Varejo,BR,Brazil,1000200000401995,Via Varejo,400053,Shopping,1000600000512918,Casas Bahia,app,App,3013,Shopping,30130001,E-Commerce (B2C),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2370932,-670873,60050891,2370932,,,,,,,1187070,-374463,1183862,-296410,50.07%,-1.27%,49.93%,1.27%,9.99%,-0.04%,10986033,-35611,12.03%,-0.03%,13233512,-22247,83.02%,-0.13%,12.67,1.06,00:00:59,-00:00:08,00:12:28,-00:00:31,411116668,-18902064,3.50,0.01,11.41%,-0.11%,,
8,20600000488679,AliExpress,,com.alibaba.aliexpresshd,google-play,Google Play Store,android-all,All Android Devices,20200002204394,Alibaba Mobile,1000200000017530,Alibaba,CN,China,1000200000017528,Alibaba Group,400053,Shopping,1000600000440294,AliExpress,app,App,3013,Shopping,30130001,E-Commerce (B2C),"2, 3","Genre, Subgenre",,,"1080025, 1080021, 1080023, 1080026, 1080022, 1080020","Settings, Browse Content, Play Content, Check Out, Search Content, Login",,,,,"6003036, 6003024, 6003041, 6003008, 6003017, 6003006, 6003079, 6003022, 6003018, 6003023, 6003010, 6003014, 6003056, 6003031","3rd Party Shopping Integration, Relative Recommendation, In-App Coupons, Favorite, Any Recommendation, Data Conserving Settings, Language Options, Personal Recommendation, Short Videos, Popular Recommendation, Like/Dislike, Messaging/Inbox, Review, Image Search",6016049,Unit Conversions,"6005006, 6005002","Internal Login, External Login",,,"6014004, 6014027, 6014007, 6014001, 6014012, 6014013, 6014032, 6014010, 6014005, 6014011","Daily/Hourly Deals, Primary Content Type - Multi Category, Exclusive App Deals, Scan Barcode, 3rd Party Payment (Paypal, Amazon, Apple Pay etc.), Member Rewards, Save for Later, Curated Shopping Content, P2P Marketplace, One Click Order","6007001, 6007007, 6007002","Comments, Share, External Share","6017007, 6017063, 6017064, 6017001, 6017050","Tag Product, Multi-Platform Support, Web Version, Subscription Feed, Basic Info","6008005, 6008003, 6008002, 6008001, 6008004","FAQs/Knowledge Base, Email/Help Desk, AI Chat bot, Any Customer Service, Forum","6010005, 6010001","Sponsored Content, Any Advertising",,,,,"5003001, 5018001, 5003001, 5003001, 5014001, 400013, 5005001, 5018001, 5008001, 400013, 5010001, 5008001, 5003001, 5003001, 5014001, 5003001, 5008001, 5018001, 5014001, 5014001, 5005001, 400013, 5008001, 5017001, 5003001, 5010001, 5014001, 5014001, 5014001, 5003001, 400013, 5014001, 5003001, 5007001, 5003001, 400013, 5007001, 5014001, 5018001, 5003001, 5003001, 5014001, 5003001, 400013, 5007001, 5003001, 5018001, 5008001","Feature - General, Feature - Social Media, Feature - General, Feature - General, Feature - Shopping, FTUE, Feature - Login, Feature - Social Media, Feature - Support, FTUE, Monetization - Advertising, Feature - Support, Feature - General, Feature - General, Feature - Shopping, Feature - General, Feature - Support, Feature - Social Media, Feature - Shopping, Feature - Shopping, Feature - Login, FTUE, Feature - Support, Feature - Health & Fitness, Feature - General, Monetization - Advertising, Feature - Shopping, Feature - Shopping, Feature - Shopping, Feature - General, FTUE, Feature - Shopping, Feature - General, Feature - Social, Feature - General, FTUE, Feature - Social, Feature - Shopping, Feature - Social Media, Feature - General, Feature - General, Feature - Shopping, Feature - General, FTUE, Feature - Social, Feature - General, Feature - Social Media, Feature - Support",2068714,267619,81161699,2068714,,,,,,,1136938,150384,931776,117235,54.96%,0.18%,45.04%,-0.18%,18.82%,0.43%,20700695,484420,22.68%,0.30%,24957217,347356,82.94%,0.79%,31.67,4.59,00:02:06,-00:00:18,01:06:34,00:01:18,4134248039,175972572,6.59,0.00,21.50%,-0.23%,,
9,20600001436537,OLX - Venda e Compra Online,,com.schibsted.bomnegocio.androidApp,google-play,Google Play Store,android-all,All Android Devices,20200001433885,OLX Brasil,1000200000302606,OLX Brasil,BR,Brazil,1000200000302606,OLX Brasil,400053,Shopping,1000600000438682,OLX Brasil,app,App,3013,Shopping,30130004,Resell,"2, 3","Genre, Subgenre",,,"1080025, 1080021, 1080022, 1080020","Settings, Browse Content, Search Content, Login",,,,,"6003008, 6003017, 6003014, 6003024, 6003072, 6003023, 6003071","Favorite, Any Recommendation, Messaging/Inbox, Relative Recommendation, In-App Communication, Popular Recommendation, Alerts Setting",,,"6005006, 6005002","Internal Login, External Login",,,"6014006, 6014005, 6014027","Make Offer, P2P Marketplace, Primary Content Type - Multi Category","6007002, 6007007","External Share, Share","6017063, 6017064","Multi-Platform Support, Web Version","6008001, 6008005, 6008003","Any Customer Service, FAQs/Knowledge Base, Email/Help Desk","6010005, 6010004, 6010001, 6010006","Sponsored Content, Floating ad, Any Advertising, Interstitial/Banner",,,,,"5007001, 5014001, 5008001, 400013, 5005001, 400013, 5010001, 5010001, 5008001, 5010001, 5003001, 5008001, 5003001, 5007001, 5014001, 400013, 5010001, 400013, 5003001, 5003001, 5003001, 5003001, 5018001, 5005001, 5018001, 5003001, 5014001","Feature - Social, Feature - Shopping, Feature - Support, FTUE, Feature - Login, FTUE, Monetization - Advertising, Monetization - Advertising, Feature - Support, Monetization - Advertising, Feature - General, Feature - Support, Feature - General, Feature - Social, Feature - Shopping, FTUE, Monetization - Advertising, FTUE, Feature - General, Feature - General, Feature - General, Feature - General, Feature - Social Media, Feature - Login, Feature - Social Media, Feature - General, Feature - Shopping",1889317,-152993,119545599,1889317,,,,,,,953558,-115329,935759,-37664,50.47%,-1.87%,49.53%,1.87%,16.98%,0.10%,18685367,129287,21.57%,0.06%,23727485,85020,78.75%,0.26%,36.65,-1.67,00:02:01,00:00:06,01:14:27,00:00:28,4174015121,54959004,6.45,0.01,21.02%,-0.21%,,
10,20600004297797,O Boticário,,com.boticario.mobile,google-play,Google Play Store,android-all,All Android Devices,20200001504614,Grupo Boticário,1000200000365075,Grupo Boticário,BR,Brazil,1000200000365075,Grupo Boticário,400053,Shopping,1000600000732425,O Boticário,app,App,3013,Shopping,30130003,E-Commerce (Retailer),"2, 3","Genre, Subgenre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1577250,-258438,15548435,1577250,,,,,,,472182,-687540,1105068,429102,29.94%,-33.24%,70.06%,33.24%,2.61%,-0.78%,2867351,-854824,3.69%,-0.02%,4054667,-18782,70.72%,-20.66%,6.15,2.58,00:02:28,-00:01:00,00:15:10,00:02:44,130500680,-8288880,2.79,-0.01,9.09%,-0.13%,,
