Rank,App Name,App Package Name,Subgenre,Downloads,Cumulative Downloads,Paid Downloads,Organic Downloads,Active Users,Install Base,Avg Session per User,Avg Session Duration,Avg time per User,Avg Active Days,gender,Tier
1,SHEIN-Fashion Shopping Online,com.zzkko,E-Commerce (Retailer),8674918,58979264,4553276,4121642,19157963,19458615,17.2,00:02:36,00:44:46,4.01,mulheres,Quatro
2,Shopee: Compre de Tudo Online,com.shopee.br,E-Commerce (C2C),8296586,105019350,4211815,4084771,44589200,50834439,48.78,00:02:16,01:51:18,6.8,mulheres,Quatro
3,Mercado Libre: Compras Online,com.mercadolibre,E-Commerce (C2C),4053985,133318302,1284307,2769678,41144943,48367758,34.01,00:01:53,01:04:14,7.58,homens,Quatro
4,Magalu: loja e compras online,com.luizalabs.mlapp,E-Commerce (B2C),2892347,93231708,1447766,1444581,21192916,26066096,15.76,00:01:15,00:19:57,4.48,mulheres,Quatro
5,Americanas: compras online,com.b2w.americanas,E-Commerce (B2C),2834579,91986977,1526138,1308441,23795465,29132183,12.97,00:01:21,00:17:39,3.96,mulheres,Quatro
6,Amazon Shopping,com.amazon.mShop.android.shopping,E-Commerce (B2C),2804209,33919950,1349183,1455026,19012526,29321526,15.99,00:01:34,00:25:16,5.32,homens,Quatro
7,Casas Bahia: Compras Online,com.novapontocom.casasbahia,E-Commerce (B2C),2370932,60050891,1187070,1183862,10986033,13233512,12.67,00:00:59,00:12:28,3.5,mulheres,Quatro
8,AliExpress,com.alibaba.aliexpresshd,E-Commerce (B2C),2068714,81161699,1136938,931776,20700695,24957217,31.67,00:02:06,01:06:34,6.59,homens,Quatro
9,OLX - Venda e Compra Online,com.schibsted.bomnegocio.androidApp,Resell,1889317,119545599,953558,935759,18685367,23727485,36.65,00:02:01,01:14:27,6.45,homens,Quatro
10,O Boticário,com.boticario.mobile,E-Commerce (Retailer),1577250,15548435,472182,1105068,2867351,4054667,6.15,00:02:28,00:15:10,2.79,mulheres,Quatro
11,MadeiraMadeira: compras online,br.com.madeiramadeira,E-Commerce (Retailer),1270765,3522725,661631,609134,295906,746182,7.23,00:02:22,00:17:12,2.26,mulheres,Quatro
12,enjoei: comprar e vender roupa,br.com.enjoei.app,E-Commerce (Retailer),1266706,29732426,665309,601397,4574141,5638184,20,00:01:27,00:29:13,3.22,mulheres,Quatro
13,Netshoes: Loja de Esportes,br.com.netshoes.app,E-Commerce (Retailer),1245353,35595433,645128,600225,5495372,9311640,9.3,00:01:50,00:17:11,3.48,homens,Quatro
14,Alibaba.com - B2B marketplace,com.alibaba.intl.android.apps.poseidon,Other Shopping,1009985,15221023,568367,441618,1036349,2270358,5.71,00:02:26,00:13:53,2.23,homens,Quatro
15,Ponto: Compra Online e Ofertas,com.sonyericsson.pontofrio,E-Commerce (B2C),965295,23428361,530171,435124,2404826,5032218,8.4,00:00:52,00:07:24,2.55,mulheres,Quatro
16,Zattini: Loja de roupas online,br.com.zattini,E-Commerce (B2C),913322,15645543,464250,449072,1866690,2441775,10.26,00:01:36,00:16:35,3.15,mulheres,Quatro
17,Shoptime: Compras online,com.b2w.shoptime,E-Commerce (B2C),856357,25832358,425687,430670,2805321,6266009,7.9,00:01:11,00:09:27,2.7,mulheres,Quatro
18,Lojas Renner - Comprar Roupas,br.com.lojasrenner,E-Commerce (Retailer),849618,27211160,472161,377457,5173413,7500135,11.29,00:01:39,00:18:40,4.03,mulheres,Quatro
19,Natura: perfumes e cosméticos,net.natura.semprepresente,E-Commerce (Retailer),796790,10173462,456969,339821,1216553,1942984,15.4,00:01:25,00:21:55,3.86,mulheres,Quatro
20,Época Cosméticos e Maquiagens,com.mobfiq.epocacosmeticos,E-Commerce (B2C),778081,6037404,434230,343851,421845,957076,6.77,00:02:24,00:16:16,3.18,mulheres,Quatro
21,Centauro: loja de esportes,br.com.sbf.centauro,E-Commerce (B2C),721284,17940965,395842,325442,2184815,5043200,9.44,00:01:14,00:11:39,3.33,homens,Quatro
22,Riachuelo – Compre pelo app,br.com.riachuelo.app,E-Commerce (Retailer),679093,18232637,348921,330172,2250659,4394996,7.24,00:01:25,00:10:16,2.72,mulheres,Quatro
23,Wish: Shop And Save,com.contextlogic.wish,E-Commerce (C2C),645028,81950657,313465,331563,5034939,11817013,9.15,00:02:22,00:21:43,2.91,mulheres,Quatro
24,Drogasil: Drogaria Online 24h,br.com.drogasil,Pharmacy & Drugstore,639020,6737496,317581,321439,2804969,4116981,7.92,00:01:24,00:11:13,2.42,mulheres,Quatro
25,Beleza na Web: Cosméticos,br.com.belezanaweb.android,E-Commerce (B2C),611920,6490111,232871,379049,304119,1026664,9.05,00:02:03,00:18:36,3.28,mulheres,Quatro
26,C&A Pay,br.com.cea.mobile.ceapay,BNPL,609209,1989798,186032,423177,375810,553253,6.41,00:01:26,00:09:16,2.54,mulheres,Quatro
27,Havan,com.artech.eaplic.havan,E-Commerce (B2C),581975,13062276,0,581975,1333685,2351950,9.17,00:01:37,00:14:56,2.74,mulheres,Quatro
28,Droga Raia - Farmácia 24 horas,br.com.drogaraia,Pharmacy & Drugstore,579825,5299345,301049,278776,2679727,3473773,8.75,00:01:45,00:15:19,2.51,mulheres,Quatro
29,Cobasi,com.root.cobasi.Activities,E-Commerce (Retailer),570925,3006917,309501,261424,393492,1360963,8.09,00:01:30,00:12:13,2.35,mulheres,Quatro
30,Submarino: Compras Online,com.b2w.submarino,E-Commerce (B2C),534417,26578077,303801,230616,3198037,8380404,9.88,00:00:52,00:08:43,3.13,homens,Quatro
