Date,Aplicativo_Rank,Advertiser App Name,Advertiser App Package Name,Ad Platforms,Apps Seen In,Creatives,Paid Downloads,investimento_cpi,est_numero_anuncios
Jul 22,1,SHEIN-Fashion Shopping Online,com.zzkko,9,95,37731,4553276,10199338.24,3584445
Aug 22,1,SHEIN-Fashion Shopping Online,com.zzkko,7,445,46825,4553276,10199338.24,20837125
Sep 22,1,SHEIN-Fashion Shopping Online,com.zzkko,8,452,44788,4553276,10199338.24,20244176
Jul 22,2,Shopee: Compre de Tudo Online,com.shopee.br,14,3358,15836,4211815,9434465.6,53177288
Aug 22,2,Shopee: Compre de Tudo Online,com.shopee.br,15,4069,15786,4211815,9434465.6,64233234
Sep 22,2,Shopee: Compre de Tudo Online,com.shopee.br,15,4933,16304,4211815,9434465.6,80427632
Jul 22,5,Americanas: compras online,com.b2w.americanas,7,140,9968,1526138,3418549.12,1395520
Aug 22,5,Americanas: compras online,com.b2w.americanas,7,337,13877,1526138,3418549.12,4676549
Sep 22,5,Americanas: compras online,com.b2w.americanas,6,147,12049,1526138,3418549.12,1771203
Jul 22,4,Magalu: loja e compras online,com.luizalabs.mlapp,6,810,8404,1447766,3242995.84,6807240
Aug 22,4,Magalu: loja e compras online,com.luizalabs.mlapp,9,2466,22331,1447766,3242995.84,55068246
Sep 22,4,Magalu: loja e compras online,com.luizalabs.mlapp,9,1853,13902,1447766,3242995.84,25760406
Jul 22,6,Amazon Shopping,com.amazon.mShop.android.shopping,4,56,10159,1349183,3022169.92,568904
Aug 22,6,Amazon Shopping,com.amazon.mShop.android.shopping,4,184,6711,1349183,3022169.92,1234824
Sep 22,6,Amazon Shopping,com.amazon.mShop.android.shopping,4,203,6855,1349183,3022169.92,1391565
Jul 22,3,Mercado Libre: Compras Online,com.mercadolibre,5,47,4530,1284307,2876847.68,212910
Aug 22,3,Mercado Libre: Compras Online,com.mercadolibre,7,139,3892,1284307,2876847.68,540988
Sep 22,3,Mercado Libre: Compras Online,com.mercadolibre,6,660,3794,1284307,2876847.68,2504040
Jul 22,7,Casas Bahia: Compras Online,com.novapontocom.casasbahia,7,10,3746,1187070,2659036.8,37460
Aug 22,7,Casas Bahia: Compras Online,com.novapontocom.casasbahia,5,3,9925,1187070,2659036.8,29775
Sep 22,7,Casas Bahia: Compras Online,com.novapontocom.casasbahia,9,203,8800,1187070,2659036.8,1786400
Jul 22,8,AliExpress,com.alibaba.aliexpresshd,8,255,19423,1136938,2546741.12,4952865
Aug 22,8,AliExpress,com.alibaba.aliexpresshd,8,525,27573,1136938,2546741.12,14475825
Sep 22,8,AliExpress,com.alibaba.aliexpresshd,7,321,16846,1136938,2546741.12,5407566
Jul 22,9,OLX - Venda e Compra Online,com.schibsted.bomnegocio.androidApp,6,12,480,953558,2135969.92,5760
Aug 22,9,OLX - Venda e Compra Online,com.schibsted.bomnegocio.androidApp,6,27,758,953558,2135969.92,20466
Sep 22,9,OLX - Venda e Compra Online,com.schibsted.bomnegocio.androidApp,6,6,595,953558,2135969.92,3570
Jul 22,12,enjoei: comprar e vender roupa,br.com.enjoei.app,5,5,10184,665309,1490292.16,50920
Aug 22,12,enjoei: comprar e vender roupa,br.com.enjoei.app,6,12,7113,665309,1490292.16,85356
Sep 22,12,enjoei: comprar e vender roupa,br.com.enjoei.app,6,17,6409,665309,1490292.16,108953
Jul 22,11,MadeiraMadeira: compras online,br.com.madeiramadeira,1,1,1,661631,1482053.44,1
Sep 22,11,MadeiraMadeira: compras online,br.com.madeiramadeira,1,52,12,661631,1482053.44,624
Jul 22,13,Netshoes: Loja de Esportes,br.com.netshoes.app,4,2,6085,645128,1445086.72,12170
Aug 22,13,Netshoes: Loja de Esportes,br.com.netshoes.app,4,2,6656,645128,1445086.72,13312
Sep 22,13,Netshoes: Loja de Esportes,br.com.netshoes.app,8,28,6879,645128,1445086.72,192612
Jul 22,14,Alibaba.com - B2B marketplace,com.alibaba.intl.android.apps.poseidon,6,345,8260,568367,1273142.08,2849700
Aug 22,14,Alibaba.com - B2B marketplace,com.alibaba.intl.android.apps.poseidon,7,1452,10581,568367,1273142.08,15363612
Sep 22,14,Alibaba.com - B2B marketplace,com.alibaba.intl.android.apps.poseidon,7,2236,11436,568367,1273142.08,25570896
Jul 22,15,Ponto: Compra Online e Ofertas,com.sonyericsson.pontofrio,5,3,5151,530171,1187583.04,15453
Aug 22,15,Ponto: Compra Online e Ofertas,com.sonyericsson.pontofrio,4,2,5847,530171,1187583.04,11694
Sep 22,15,Ponto: Compra Online e Ofertas,com.sonyericsson.pontofrio,4,2,7731,530171,1187583.04,15462
Jul 22,10,O Boticário,com.boticario.mobile,5,13,403,472182,1057687.68,5239
Aug 22,10,O Boticário,com.boticario.mobile,3,3,1155,472182,1057687.68,3465
Sep 22,10,O Boticário,com.boticario.mobile,5,4,1516,472182,1057687.68,6064
Jul 22,18,Lojas Renner - Comprar Roupas,br.com.lojasrenner,6,41,10840,472161,1057640.64,444440
Aug 22,18,Lojas Renner - Comprar Roupas,br.com.lojasrenner,7,35,9053,472161,1057640.64,316855
Sep 22,18,Lojas Renner - Comprar Roupas,br.com.lojasrenner,6,67,10073,472161,1057640.64,674891
Jul 22,16,Zattini: Loja de roupas online,br.com.zattini,4,2,5447,464250,1039920,10894
Aug 22,16,Zattini: Loja de roupas online,br.com.zattini,2,2,6321,464250,1039920,12642
Sep 22,16,Zattini: Loja de roupas online,br.com.zattini,3,4,5959,464250,1039920,23836
