data-ai Intelligence
Report,Review - Summary
Report Generation Time,01/06/2023 08:41:25 PST
App,Mercado Libre: Compras Online
Date,"2022-07-10, 2022-07-16"
Granularity,Daily
Rating Value,"1, 2, 3, 4, 5"
Language,Portuguese

Reviews,Reviews Content,Rating,Start Date,End Date,Review Product Version,Review Product Version Name,Language,Language Name
001f8932-2e94-487f-9f67-b50cae7e5428,Ele so e difícil para abrir,1,2022-07-15,2022-07-15,20600000011511_Unknown,Unknown,pt,Portuguese
0025d144-86f4-4cbc-bc73-1166a07cc8be,muito bom,5,2022-07-16,2022-07-16,20600000011511_10.217.2,10.217.2,pt,Portuguese
004d0554-0b5b-47d2-bb35-648deb2bd573,Tico 1313,1,2022-07-10,2022-07-10,20600000011511_10.217.2,10.217.2,pt,Portuguese
004f8dc5-348c-4fa2-9da2-aeec6c8e71cc,bom prazo em dias,5,2022-07-13,2022-07-13,20600000011511_10.217.2,10.217.2,pt,Portuguese
00a22861-1d1e-47aa-a40b-1ce981be06cc,ótimo,5,2022-07-10,2022-07-10,20600000011511_10.208.2,10.208.2,pt,Portuguese
00adb05d-81bc-4356-8ddc-5b70386e25ac,Não consigo mais recuperar minha conta,1,2022-07-10,2022-07-10,20600000011511_10.217.2,10.217.2,pt,Portuguese
00c77e5f-8ec2-4132-8ef6-9ecc68d33b49,"Mercado Livre perdendo milhões por pedir foto de CNH desanima qualquer um de comprar!!! Nenhuma loja pede isso... E outra, se vc quiser ver suas compras vc tem que baixar o lixo do app horrível que fizeram....",1,2022-07-15,2022-07-15,20600000011511_10.217.2,10.217.2,pt,Portuguese
00e6bec2-6a1e-4c31-80ff-15d071a6b7a7,Programa funciona..mas a vezes dá pani e fica com tela preta.. mesmo atualizado...vai saber,4,2022-07-14,2022-07-14,20600000011511_10.208.2,10.208.2,pt,Portuguese
0141b9dd-3130-40d2-812c-a0ea8be43783,Bom,5,2022-07-14,2022-07-14,20600000011511_10.15.3,10.15.3,pt,Portuguese
016029bc-8eb6-47fc-ba57-0f480f0bff1b,"sou cliente , e estou muito chateada pago com a opção mercado pago, e hj quando fui finalizar minha compra eles tiraram está opção de pagamento que era a do mercado pago, meu limite já estava muito bom, fiquei muito chateada mesmo pois sempre paguei minhas parcelas em dia",5,2022-07-13,2022-07-13,20600000011511_10.217.2,10.217.2,pt,Portuguese
017aef91-e820-4508-8b4b-123392b3eba0,"É uma ótima equipe, pois uma andorinha só não faz verão, é um conjunto de pessoas responsáveis que nos ajuda todos os dias, sem sair da nossa zona de conforto, comprando com segurança sem precisar sair de casa, obrigado ""mercado livre""!",5,2022-07-15,2022-07-15,20600000011511_10.217.2,10.217.2,pt,Portuguese
01b412ef-628d-44f6-b0cc-c86a9a343937,Ótima,5,2022-07-16,2022-07-16,20600000011511_10.217.2,10.217.2,pt,Portuguese
01bb3de5-f700-4e5c-afdd-77cc6248f003,excelente 👏👏,5,2022-07-15,2022-07-15,20600000011511_10.217.2,10.217.2,pt,Portuguese
01bb7294-c06f-49f0-a340-caed90043ed8,Muito bom...,5,2022-07-10,2022-07-10,20600000011511_10.211.1,10.211.1,pt,Portuguese
01c3ca63-3556-44e0-8ca9-9c02db63a068,O aplicativo está abrindo SOZINHO !!!!,1,2022-07-13,2022-07-13,20600000011511_10.217.2,10.217.2,pt,Portuguese
01f2415a-6b60-40a8-9627-49cf03145917,Fiz troca de chip e de aparelhos e não consigo efetuar minhas compras.,5,2022-07-16,2022-07-16,20600000011511_10.217.2,10.217.2,pt,Portuguese
