data-ai Intelligence
Report,Single table report
Report Generation Time,01/06/2023 07:50:29 PST
Ad Platform,All Supported
Country/Region,Brazil
Device,Android Phone
Date,"2021-09-01, 2021-09-30"
Granularity,Monthly

Advertiser App,Advertiser App Name,Advertiser App Bundle ID,Advertiser App Icon Url,Advertiser App Status,Advertiser App Package Name,Market,Market Name,Device,Device Name,Developer Account,Developer Account Name,Company,Company Name,Company HQ,Company HQ Name,Parent Company,Parent Company Name,App Category,App Category Name,Unified App,Unified App Name,Vertical,Vertical Name,# Ad Platforms,# Ad Platforms (Change Value),# Apps Seen In,# Apps Seen In (Change Value),Creatives,Creatives (Change Value)
20600012546168,Shopee: Compre de Tudo Online,,https://static-s.aa-cdn.net/img/gp/20600012546168/YlodujI9724Xpwm2qj1mCngorNRK61G8zgRpUNhzQtcdD-LP1yRYAcRjRIjiNgpvuV4_w80,1,com.shopee.br,google-play,Google Play Store,android-all,All Android Devices,20200001521500,Shopee,1000200000063420,SHOPEE,SG,Singapore,1000200000257176,Sea,400053,Shopping,1000600000516340,Shopee,app,App,15,0,4933,864,16304,518
20600001668074,Casas Bahia: Compras Online,,https://static-s.aa-cdn.net/img/gp/20600001668074/awC73ss_zR9iJfXntzUsn6xKZiYQYUceI-y6Sd__txe4KWMRV5aVQimQD76peq92Mw_w80,1,com.novapontocom.casasbahia,google-play,Google Play Store,android-all,All Android Devices,20200002483031,Via Varejo S.A.,1000200000401995,Via Varejo,BR,Brazil,1000200000401995,Via Varejo,400053,Shopping,1000600000512918,Casas Bahia,app,App,9,4,203,200,8800,-1125
20600003118501,Magalu: loja e compras online,,https://static-s.aa-cdn.net/img/gp/20600003118501/Ds6vFDe_SYco25pHr_0CBRkI7BiNunYi1I4JeHLTbs2r0zTc1CTGmIki1mn27c_wVAA_w80,1,com.luizalabs.mlapp,google-play,Google Play Store,android-all,All Android Devices,20200003931717,Magazine Luiza,1000200000078746,LuizaLabs,BR,Brazil,1000200000387041,Magazine Luiza,400053,Shopping,1000600000524510,Magazine Luiza,app,App,9,0,1853,-613,13902,-8429
20600002127947,SHEIN-Fashion Shopping Online,,https://static-s.aa-cdn.net/img/gp/20600002127947/e9FXWFNT_9cL6yPiITu38t3wNLXd5lxohnq1tQQGJhvqsWw-pf4FnDX9zhod5R1jag_w80,1,com.zzkko,google-play,Google Play Store,android-all,All Android Devices,20200003679327,Roadget Business PTE. LTD.,1000200000062552,Shein,CN,China,1000200000062552,Shein,400053,Shopping,1000600000514517,SHEIN,app,App,8,1,452,7,44788,-2037
20600003323726,Netshoes: Loja de Esportes,,https://static-s.aa-cdn.net/img/gp/20600003323726/QMHBX3lHZs6AAKL9lcHQh5WhN79OP3IatQ-JLxnK3jE4pHcoxYj5kN5FEUIhD9eYus8=s300_w80,1,br.com.netshoes.app,google-play,Google Play Store,android-all,All Android Devices,20200001721405,Grupo Netshoes,1000200000039029,Netshoes,BR,Brazil,1000200000387041,Magazine Luiza,400053,Shopping,1000600000448060,Netshoes,app,App,8,4,28,26,6879,223
20600000488679,AliExpress,,https://static-s.aa-cdn.net/img/gp/20600000488679/KpdUynlDrYAcy_UHldmmKSgOMSRiwdJZNFNv8aNSiioCQ9miZxO4MVHIrYmdvWuSBOlo_w80,1,com.alibaba.aliexpresshd,google-play,Google Play Store,android-all,All Android Devices,20200002204394,Alibaba Mobile,1000200000017530,Alibaba,CN,China,1000200000017528,Alibaba Group,400053,Shopping,1000600000440294,AliExpress,app,App,7,-1,321,-204,16846,-10727
20600000527969,Alibaba.com - B2B marketplace,,https://static-s.aa-cdn.net/img/gp/20600000527969/D09AsmYSxDpMWRSXbu54j2R_8sR-1OgbV2DXSI9_HIuY2IMZ8b8JgscWol6mikknaks_w80,1,com.alibaba.intl.android.apps.poseidon,google-play,Google Play Store,android-all,All Android Devices,20200002204394,Alibaba Mobile,1000200000017530,Alibaba,CN,China,1000200000017528,Alibaba Group,400053,Shopping,1000600000447645,Alibaba.com,app,App,7,0,2236,784,11436,855
20600002050495,Submarino: Compras Online,,https://static-s.aa-cdn.net/img/gp/20600002050495/NaYEUBIg62Ku0qs84WuBpJE-bFC48p_psXvzY1VL_ze1il08UHIdyhpTiomeeoCNb4c_w80,1,com.b2w.submarino,google-play,Google Play Store,android-all,All Android Devices,20200004181434,americanas s.a.,,,,,,,400053,Shopping,1000600000454152,Submarino,app,App,7,0,63,-6,5734,-68
20600003678840,Banggood - Online Shopping,,https://static-s.aa-cdn.net/img/gp/20600003678840/JxnMOf-HPbOm7uApU0xj5luMksE_FXJ4k5WYtca4Pe2fuJMI63S8Ek-o3oFUobFbig_w80,1,com.banggood.client,google-play,Google Play Store,android-all,All Android Devices,20200002263698,Banggood,1000200000184483,Banggood,CN,China,1000200000184483,Banggood,400053,Shopping,1000600000611972,Banggood,app,App,7,1,18,-7,3122,-914
20600006803903,Méliuz: Cashback e Cartão,,https://static-s.aa-cdn.net/img/gp/20600006803903/negrx9sNdw23D1bLlzcSSOIuXfWuj11nIrBWL_-uJ5SBs3kvlciuwT685H7jbXs1MD0U_w80,1,br.com.meliuz,google-play,Google Play Store,android-all,All Android Devices,20200002101472,Méliuz,1000200000235117,Méliuz,BR,Brazil,1000200000235117,Méliuz,400038,Finance,1000600000626047,Méliuz,app,App,7,2,19,14,277,116
