data-ai Intelligence
Report,Review - Summary
Report Generation Time,01/06/2023 08:36:36 PST
App,Shopee: Compre de Tudo Online
Date,"2022-07-10, 2022-07-16"
Granularity,Daily
Rating Value,"1, 2, 3, 4, 5"
Language,Portuguese

Reviews,Reviews Content,Rating,Start Date,End Date,Review Product Version,Review Product Version Name,Language,Language Name
000b7255-08d3-4254-88aa-886372583375,Excelente app,5,2022-07-13,2022-07-13,20600012546168_2.89.41,2.89.41,pt,Portuguese
000c1fd3-741e-4384-969e-3754ea5522c5,Pessima tou com o reembolso pra receber já tem mais de 2 meses até agora nada falo que minha conta bancaria tá com falhas sendo que casdatrei no aplicativo tà tudo certo,2,2022-07-13,2022-07-13,20600012546168_2.90.13,2.90.13,pt,Portuguese
000dff56-0581-49cf-b1bd-d40064af39f8,Comprinhas top! Melhor ainda quando tem promoção de frete grátis.,5,2022-07-15,2022-07-15,20600012546168_2.81.31,2.81.31,pt,Portuguese
000e90bd-1a66-4af3-b63c-e07cdddfc3de,"Super barato, entrega rapida...",5,2022-07-10,2022-07-10,20600012546168_2.89.41,2.89.41,pt,Portuguese
001254f8-d317-4f77-a51c-5e05fb716af8,Ótimo sem dúvida,1,2022-07-14,2022-07-14,20600012546168_2.90.13,2.90.13,pt,Portuguese
0012d67e-3845-4fb5-81bd-0952a1045ac2,Amooooooo,5,2022-07-10,2022-07-10,20600012546168_2.89.41,2.89.41,pt,Portuguese
0013851e-c4e5-4a0a-88d7-3ec3c37c1676,Show!,5,2022-07-13,2022-07-13,20600012546168_2.90.13,2.90.13,pt,Portuguese
0015c0b2-3637-4150-b82a-4ede68e6ac00,"não consigo solução para o meu problema, apesar de acessar todos os canais do app.deviam ter uma linha pra pudéssemos fazer ligações",1,2022-07-15,2022-07-15,20600012546168_2.89.41,2.89.41,pt,Portuguese
001dd50f-3c91-441e-b717-8a20c1b5d340,Aplicativo complicado lento e difícil,1,2022-07-12,2022-07-12,20600012546168_2.89.41,2.89.41,pt,Portuguese
00262606-2bf3-401f-88e6-d4321922f094,Do nada a minha bugou e eu tive que desinstalar mas por sorte eu sabia a minha senha e meu e-mail mas porfavor resolvam esse problema,4,2022-07-12,2022-07-12,20600012546168_Unknown,Unknown,pt,Portuguese
0028de39-77d0-41f0-9fe1-d57253b50587,Adorei o app muito bom mesmo parabéns ao criador você é nota mil todas as expectativas alcançadas 👏👏👏 TÁ TRAVANDO MUITO SHOPEE RESOLVAM POR FAVOR!!!!!!!!!!!!!!!,1,2022-07-16,2022-07-16,20600012546168_2.90.20,2.90.20,pt,Portuguese
002eb504-fc63-4c7e-aa2c-bbf559aa6a80,Estou amando.,5,2022-07-12,2022-07-12,20600012546168_2.89.41,2.89.41,pt,Portuguese
0031dcea-a6b9-4d83-8dba-0f4ceb2b228d,"Lugar de ótimas compras, recomendo",5,2022-07-11,2022-07-11,20600012546168_2.89.41,2.89.41,pt,Portuguese
0034403f-674c-48a4-afb9-867d11b1b31a,"E muito bom, e bem viciante! 🤣",5,2022-07-10,2022-07-10,20600012546168_2.89.41,2.89.41,pt,Portuguese
0035597b-6443-4c38-abdb-7a3fc2cfd830,Boa,5,2022-07-11,2022-07-11,20600012546168_2.89.41,2.89.41,pt,Portuguese
00378c31-c4aa-4fd3-8d54-bea4f351ef10,"Adoro comprar neste site, só perguntas no chat na maioria de produtos da China não respondem as perguntas.",5,2022-07-13,2022-07-13,20600012546168_2.89.41,2.89.41,pt,Portuguese
003e211d-ae4f-42dd-984e-ecf0f0f734ac,Uma desgraça na vida das pessoas que tem q aguardar uma propaganda chata dessa acabar pra jogar em paz🤬🤬🤬🤬,1,2022-07-10,2022-07-10,20600012546168_Varies with device,Varies with device,pt,Portuguese
004aa1e8-e842-45b4-aa1d-e188d495661b,Gosto muitooo de comprar na shopee ❤amooo Simplismente tem impressionado algumas lojas tudo muito rápido,5,2022-07-14,2022-07-14,20600012546168_2.90.13,2.90.13,pt,Portuguese
0050805a-6dea-47be-a7f1-0040da14e334,Ótimo app,5,2022-07-14,2022-07-14,20600012546168_Unknown,Unknown,pt,Portuguese
00514a63-b492-42f7-9300-c81bb7dae776,"Ótimo app, apenas alguns vendedores que não cumprem o prazo de envio do produto e não respond qdo o.lroduto bem errado Mas o desenvolvimento do app é sensacional.",5,2022-07-14,2022-07-14,20600012546168_2.90.20,2.90.20,pt,Portuguese
0053cbf0-20fc-4c78-98b4-7de3088ca43b,Comprei uma lanterna foi debitado no meu cartão e a compra não tá aparecendo,1,2022-07-14,2022-07-14,20600012546168_2.89.41,2.89.41,pt,Portuguese
005dff4b-85f1-44fe-bcbb-bcfac27f8a67,Muito bom por enquanto 😊😊😊,4,2022-07-13,2022-07-13,20600012546168_2.89.41,2.89.41,pt,Portuguese
00602ae1-c8d8-4e19-8cb3-3037ee254a38,Bom,5,2022-07-10,2022-07-10,20600012546168_2.89.41,2.89.41,pt,Portuguese
