rank,age_code,gender_code,product_name,audience_percentage,product_package,total_active_users,active_users,sub_genre
1,<25,male,SHEIN-Fashion Shopping Online,0.045142036,com.zzkko,19157963,864829,E-Commerce (Retailer)
1,>44,female,SHEIN-Fashion Shopping Online,0.117830627,com.zzkko,19157963,2257395,E-Commerce (Retailer)
1,>44,male,SHEIN-Fashion Shopping Online,0.021035876,com.zzkko,19157963,403005,E-Commerce (Retailer)
1,all,all,SHEIN-Fashion Shopping Online,1,com.zzkko,19157963,19157963,E-Commerce (Retailer)
1,between 25 and 44,male,SHEIN-Fashion Shopping Online,0.10251227,com.zzkko,19157963,1963926,E-Commerce (Retailer)
1,between 25 and 44,female,SHEIN-Fashion Shopping Online,0.536054075,com.zzkko,19157963,10269704,E-Commerce (Retailer)
1,all,female,SHEIN-Fashion Shopping Online,0.831309795,com.zzkko,19157963,15926202,E-Commerce (Retailer)
1,<25,all,SHEIN-Fashion Shopping Online,0.222567126,com.zzkko,19157963,4263933,E-Commerce (Retailer)
1,all,male,SHEIN-Fashion Shopping Online,0.168690175,com.zzkko,19157963,3231760,E-Commerce (Retailer)
1,<25,female,SHEIN-Fashion Shopping Online,0.177425087,com.zzkko,19157963,3399103,E-Commerce (Retailer)
1,>44,all,SHEIN-Fashion Shopping Online,0.138866499,com.zzkko,19157963,2660399,E-Commerce (Retailer)
1,between 25 and 44,all,SHEIN-Fashion Shopping Online,0.638566375,com.zzkko,19157963,12233631,E-Commerce (Retailer)
2,>44,female,Shopee: Compre de Tudo Online,0.1,com.shopee.br,44589200,4458920,E-Commerce (C2C)
2,<25,female,Shopee: Compre de Tudo Online,0.07,com.shopee.br,44589200,3121244,E-Commerce (C2C)
2,<25,male,Shopee: Compre de Tudo Online,0.05,com.shopee.br,44589200,2229460,E-Commerce (C2C)
2,all,female,Shopee: Compre de Tudo Online,0.57,com.shopee.br,44589200,25415844,E-Commerce (C2C)
2,>44,male,Shopee: Compre de Tudo Online,0.08,com.shopee.br,44589200,3567136,E-Commerce (C2C)
2,between 25 and 44,female,Shopee: Compre de Tudo Online,0.41,com.shopee.br,44589200,18281572,E-Commerce (C2C)
2,>44,all,Shopee: Compre de Tudo Online,0.18,com.shopee.br,44589200,8026056,E-Commerce (C2C)
2,all,all,Shopee: Compre de Tudo Online,1,com.shopee.br,44589200,44589200,E-Commerce (C2C)
2,between 25 and 44,all,Shopee: Compre de Tudo Online,0.7,com.shopee.br,44589200,31212440,E-Commerce (C2C)
2,all,male,Shopee: Compre de Tudo Online,0.43,com.shopee.br,44589200,19173356,E-Commerce (C2C)
2,between 25 and 44,male,Shopee: Compre de Tudo Online,0.3,com.shopee.br,44589200,13376760,E-Commerce (C2C)
2,<25,all,Shopee: Compre de Tudo Online,0.12,com.shopee.br,44589200,5350704,E-Commerce (C2C)
3,all,female,Mercado Libre: Compras Online,0.42732811,com.mercadolibre,41144943,17582391,E-Commerce (C2C)
3,between 25 and 44,all,Mercado Libre: Compras Online,0.642135441,com.mercadolibre,41144943,26420626,E-Commerce (C2C)
3,>44,all,Mercado Libre: Compras Online,0.226545081,com.mercadolibre,41144943,9321184,E-Commerce (C2C)
3,>44,female,Mercado Libre: Compras Online,0.090522587,com.mercadolibre,41144943,3724547,E-Commerce (C2C)
3,between 25 and 44,male,Mercado Libre: Compras Online,0.349358976,com.mercadolibre,41144943,14374355,E-Commerce (C2C)
3,between 25 and 44,female,Mercado Libre: Compras Online,0.292776465,com.mercadolibre,41144943,12046271,E-Commerce (C2C)
3,<25,female,Mercado Libre: Compras Online,0.044029042,com.mercadolibre,41144943,1811572,E-Commerce (C2C)
3,<25,all,Mercado Libre: Compras Online,0.131319463,com.mercadolibre,41144943,5403132,E-Commerce (C2C)
3,>44,male,Mercado Libre: Compras Online,0.136022493,com.mercadolibre,41144943,5596638,E-Commerce (C2C)
