,rank,age_code,gender_code,product_name,audience_percentage,product_package,total_active_users,active_users,sub_genre
33,3,all,male,Mercado Libre: Compras Online,0.57267189,com.mercadolibre,41144943,23562552,E-Commerce (C2C)
63,6,all,male,Amazon Shopping,0.517641187,com.amazon.mShop.android.shopping,19012526,9841667,E-Commerce (B2C)
92,8,all,male,AliExpress,0.563908935,com.alibaba.aliexpresshd,20700695,11673307,E-Commerce (B2C)
101,9,all,male,OLX - Venda e Compra Online,0.660075486,com.schibsted.bomnegocio.androidApp,18685367,12333753,Resell
153,13,all,male,Netshoes: Loja de Esportes,0.55,br.com.netshoes.app,5495372,3022455,E-Commerce (Retailer)
164,14,all,male,Alibaba.com - B2B marketplace,0.606635273,com.alibaba.intl.android.apps.poseidon,1036349,628686,Other Shopping
249,21,all,male,Centauro: loja de esportes,0.646845102,br.com.sbf.centauro,2184815,1413237,E-Commerce (B2C)
316,30,all,male,Submarino: Compras Online,0.584626794,com.b2w.submarino,3198037,1869658,E-Commerce (B2C)
348,34,all,male,Decathlon: Loja de Esportes,0.535418212,br.com.decathlon,215533,115400,E-Commerce (Retailer)
463,45,all,male,Leroy Merlin Brasil,0.528066158,br.com.leroymerlin,133502,70498,E-Commerce (B2C)
495,51,all,male,CrmBonus,0.531778693,com.br.crmbonus.app,146028,77655,Coupons & Rewards
530,56,all,male,"Zoom: Compare preços, Cashback",0.521406293,com.zoom.zoomandroid,3239836,1689271,Coupons & Rewards
573,62,all,male,"Buscapé: Menor preço, Cashback",0.612233698,br.com.buscape.MainPack,1604701,982452,Other Shopping
607,65,all,male,Loja do Mecânico,0.650280893,br.com.gurgelmix.lojadomecanico_app,185151,120400,E-Commerce (B2C)
631,70,all,male,Fast Shop,0.565478146,br.com.fastshop.ecommerce.beta,163864,92662,E-Commerce (Retailer)
643,72,all,male,Promobit: Promoções e Cupons,0.596326113,br.com.promobit.app,525769,313530,Coupons & Rewards
728,81,all,male,KaBuM! Compre Online,0.740743399,br.com.kabum.webviewapp,634226,469799,E-Commerce (Retailer)
787,89,all,male,Clube Extra,0.513790906,br.com.clubeextra,376388,193385,Coupons & Rewards
797,92,all,male,Banggood - Online Shopping,0.744798958,com.banggood.client,248551,185121,E-Commerce (B2C)
828,97,all,male,Bemol,0.794543505,com.bemol.commerce.android.apps.mobile,80293,63796,E-Commerce (Retailer)
