,rank,age_code,gender_code,product_name,audience_percentage,product_package,total_active_users,active_users,sub_genre
6,1,all,female,SHEIN-Fashion Shopping Online,0.831309795,com.zzkko,19157963,15926202,E-Commerce (Retailer)
15,2,all,female,Shopee: Compre de Tudo Online,0.57,com.shopee.br,44589200,25415844,E-Commerce (C2C)
41,4,all,female,Magalu: loja e compras online,0.557236791,com.luizalabs.mlapp,21192916,11809473,E-Commerce (B2C)
57,5,all,female,Americanas: compras online,0.583464265,com.b2w.americanas,23795465,13883803,E-Commerce (B2C)
83,7,all,female,Casas Bahia: Compras Online,0.558918417,com.novapontocom.casasbahia,10986033,6140296,E-Commerce (B2C)
108,10,all,female,O Boticário,0.71906507,com.boticario.mobile,2867351,2061812,E-Commerce (Retailer)
127,11,all,female,MadeiraMadeira: compras online,0.654906392,br.com.madeiramadeira,295906,193791,E-Commerce (Retailer)
134,12,all,female,enjoei: comprar e vender roupa,0.694722951,br.com.enjoei.app,4574141,3177761,E-Commerce (Retailer)
185,16,all,female,Zattini: Loja de roupas online,0.801204085,br.com.zattini,1866690,1495600,E-Commerce (B2C)
199,17,all,female,Shoptime: Compras online,0.578428149,com.b2w.shoptime,2805321,1622677,E-Commerce (B2C)
211,18,all,female,Lojas Renner - Comprar Roupas,0.762451351,br.com.lojasrenner,5173413,3944476,E-Commerce (Retailer)
216,19,all,female,Natura: perfumes e cosméticos,0.775924861,net.natura.semprepresente,1216553,943954,E-Commerce (Retailer)
237,20,all,female,Época Cosméticos e Maquiagens,0.850565076,com.mobfiq.epocacosmeticos,421845,358807,E-Commerce (B2C)
259,22,all,female,Riachuelo – Compre pelo app,0.687375009,br.com.riachuelo.app,2250659,1547047,E-Commerce (Retailer)
276,25,all,female,Beleza na Web: Cosméticos,0.804227412,br.com.belezanaweb.android,304119,244581,E-Commerce (B2C)
290,27,all,female,Havan,0.711351037,com.artech.eaplic.havan,1333685,948718,E-Commerce (B2C)
309,29,all,female,Cobasi,0.61259824,com.root.cobasi.Activities,393492,241053,E-Commerce (Retailer)
330,31,all,female,Extra: Loja Online e Ofertas,0.587513924,com.novapontocom.extra,2400034,1410053,E-Commerce (B2C)
337,33,all,female,"Loja C&A: Roupas, Sapatos e +",0.859816849,br.com.cea.appb2c,2186206,1879737,E-Commerce (Retailer)
369,35,all,female,Marisa: Moda e Comprar Roupas,0.810710251,br.com.marisa.android,1741080,1411511,E-Commerce (Retailer)
381,36,all,female,PatPat - Kids & Baby Clothing,0.884394109,com.interfocusllc.patpat,299204,264614,E-Commerce (Retailer)
386,37,all,female,Petz: Pet shop Online,0.62404877,br.com.petz,1585552,989462,E-Commerce (B2C)
400,39,all,female,Tok&Stok: Móveis e Decoração,0.752502143,com.tokstok.app,190974,143708,E-Commerce (Retailer)
417,40,all,female,Urbanic - Fashion from London,0.891547203,com.urbanic.multis,343183,305964,E-Commerce (Retailer)
431,42,all,female,Pernambucanas,0.646308839,br.com.pernambucanas.varejo.android,160552,103766,E-Commerce (Retailer)
439,43,all,female,Loja Online Samsung,0.523523271,com.samsung.shop,536022,280620,E-Commerce (Retailer)
447,44,all,female,Revendedor O Boticário,0.807379961,br.com.grupoboticario.boticariorepresentante,223389,180360,E-Commerce (C2C)
474,49,all,female,"Dafiti: roupas, sapatos, decor",0.775414765,br.com.dafiti,3005423,2330449,E-Commerce (B2C)
481,50,all,female,Pão de Açúcar Mais,0.569387436,br.com.paodeacucarmais,2506095,1426939,Coupons & Rewards
512,52,all,female,Cuponomia: Cupons e Cashback,0.715214312,com.cuponomia,242254,173264,Coupons & Rewards
526,55,all,female,Arezzo,0.715496182,br.com.arezzo,87922,62908,E-Commerce (Retailer)
562,59,all,female,Posthaus | Liquida Verão,0.843528509,br.com.supero.posthaus.site,266842,225089,E-Commerce (Retailer)
581,63,all,female,Elo7: Produtos Personalizados,0.860375047,br.com.elo7.appbuyer,361705,311202,E-Commerce (C2C)
594,64,all,female,Petlove - O app do seu pet,0.689647555,br.com.petlove.petlove,424288,292609,E-Commerce (B2C)
623,69,all,female,Polishop: Ofertas de Verão,0.647306383,br.com.projetopolishop.mobile,75784,49055,E-Commerce (B2C)
650,74,all,female,Camicado,0.880833745,br.com.camicado.mobile,138852,122306,E-Commerce (Retailer)
669,75,all,female,Zara,0.818018496,com.inditex.zara,97602,79840,E-Commerce (Retailer)
